fortnight_letter,fortnight,pre_covid,pre_outbreak,date,sentiment_score,video_category,additional_confirmed,additional_deaths,additional_recoveries,total_confirmed,total_deaths,total_recoveries,current_infections,date_avg,sent_avg_10,sent_avg_19,sent_avg_22,sent_avg_24,sent_avg_25,sent_avg_26,sent_avg_27,sent_avg_28,case_num,global_additional_confirmed,global_additional_deaths,global_additional_recoveries,global_total_confirmed,global_total_deaths,global_total_recoveries,global_current_infections
a,1,yes,yes,2019-11-01-2019-11-15,0.9945509,Music,0,0,0,0,0,0,0,11-01 - 11-15,0.959120948,0.774191267,0.721576133,0.626464374,0.582230124,0.508315151,0.742935195,0.893274033,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.8970022,Music,0,0,0,0,0,0,0,11-15 - 11-29,0.850308226,0.393944575,0.763780656,0.732907467,0.630468324,0.500244851,0.866160156,0.679951817,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.985809743,Music,0,0,0,0,0,0,0,11-29 - 12-13,0.425298414,0.709030244,0.717824846,0.719290825,0.801415899,0.808638079,0.59560973,0.732324342,0,0,0,0,0,0,0,0
b,2,yes,yes,2019-11-15-2019-11-29,0.9889992,Music,0,0,0,0,0,0,0,12-13 - 12-27,0.274149359,0.640966935,0.668782797,0.546003776,0.577621572,0.529993387,0.580872856,0.425313759,0,0,0,0,0,0,0,0
b,2,yes,yes,2019-11-15-2019-11-29,0.91792387,Music,0,0,0,0,0,0,0,12-27 - 1-10,0.339815818,0.674541658,0.845961151,0.48234408,0.772194622,0.484613285,0.617098918,0.490992775,0,0,0,0,0,0,0,0
b,2,yes,yes,2019-11-15-2019-11-29,0.31756344,Music,0,0,0,0,0,0,0,1-10 - 1-24,0.603386213,0.71747076,0.71464286,0.471906537,0.43471213,0.615555237,0.507446791,0.333517933,0,653,18,30,653,18,30,605
c,3,yes,yes,2019-11-29-2019-12-13,0.004179967,Music,0,0,0,0,0,0,0,1-24 - 2-07,0.491688079,0.551789061,0.623923026,0.595556733,0.627446397,0.644425553,0.632317056,0.787480781,18,29727,608,1439,30380,626,1469,28285
c,3,yes,yes,2019-11-29-2019-12-13,0.13539048,Music,0,0,0,0,0,0,0,2-07 - 2-21,0.432746481,0.623030402,0.344369375,0.779695746,0.385638701,0.596210019,0.616986667,0.433813645,19,45442,1613,16690,75822,2239,18159,55424
c,3,yes,yes,2019-11-29-2019-12-13,0.1848252,Music,0,0,0,0,0,0,0,2-21 - 3-06,0.694320128,0.77273279,0.866684831,0.604123616,0.518996979,0.635228016,0.771151767,0.400000884,59,21384,1102,35301,97206,3341,53460,40405
c,3,yes,yes,2019-11-29-2019-12-13,0.91079354,Music,0,0,0,0,0,0,0,3-06 - 3-20,0.464812666,0.693210366,0.73629597,0.554160173,0.688138641,0.462366509,0.802616127,0.299651872,685,144914,6426,29575,242120,9767,83035,149318
