fortnight_letter,fortnight,pre_covid,pre_outbreak,date,sentiment_score,video_category,additional_confirmed,additional_deaths,additional_recoveries,total_confirmed,total_deaths,total_recoveries,current_infections,date_avg,sent_avg_10,sent_avg_19,sent_avg_22,sent_avg_24,sent_avg_25,sent_avg_26,sent_avg_27,sent_avg_28,case_num,global_additional_confirmed,global_additional_deaths,global_additional_recoveries,global_total_confirmed,global_total_deaths,global_total_recoveries,global_current_infections
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,11-01 - 11-15,0.601564412,0.720495178,0.692319981,0.593729378,0.505856231,0.645734148,0.705870281,0.40738071,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.9952467,Music,0,0,0,0,0,0,0,11-15 - 11-29,0.585956265,0.835651808,0.60631793,0.595882344,0.622806331,0.863378413,0.490062102,0.546636619,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,11-29 - 12-13,0.488146117,0.760114216,0.775538992,0.86280129,0.493536424,0.782028253,0.651725001,0.569933979,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.038062055,Music,0,0,0,0,0,0,0,12-13 - 12-27,0.362675842,0.741662954,0.511418383,0.534533292,0.662968178,0.58410916,0.492938842,0.492111503,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.99472356,Music,0,0,0,0,0,0,0,12-27 - 1-10,0.461848036,0.598909952,0.410377604,0.650526254,0.70620777,0.483994503,0.399446256,0.583239633,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.65479934,Music,0,0,0,0,0,0,0,1-10 - 1-24,0.432775681,0.709458748,0.750813233,0.623242692,0.590388571,0.757441035,0.633968342,0.434271064,0,653,18,30,653,18,30,605
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,1-24 - 2-07,0.38942242,0.65309873,0.585820499,0.491576786,0.577610372,0.66581305,0.647905424,0.490865865,8,29727,608,1439,30380,626,1469,28285
a,1,yes,yes,2019-11-01-2019-11-15,0.7688657,Music,0,0,0,0,0,0,0,2-07 - 2-21,0.573329366,0.540972763,0.754621004,0.684737226,0.717705219,0.60567019,0.613028796,0.642955233,11,45442,1613,16690,75822,2239,18159,55424
a,1,yes,yes,2019-11-01-2019-11-15,0.99483645,Music,0,0,0,0,0,0,0,2-21 - 3-06,0.526637942,0.697668047,0.510926474,0.524113372,0.50203694,0.613157863,0.430904275,0.362827058,40,21384,1102,35301,97206,3341,53460,40405
b,2,yes,yes,2019-11-15-2019-11-29,0.3225153,Music,0,0,0,0,0,0,0,3-06 - 3-20,0.304602534,0.541979196,0.755691628,0.715402063,0.495512165,0.644384116,0.767723563,0.697012721,837,144914,6426,29575,242120,9767,83035,149318
b,2,yes,yes,2019-11-15-2019-11-29,0.9906431,Music,0,0,0,0,0,0,0,3-20 - 4-03,0.440489335,0.669463216,0.610084643,0.867094021,0.512368096,0.499975625,0.491051537,0.708955768,11321,792229,44008,124115,1034349,53775,207150,773424
b,2,yes,yes,2019-11-15-2019-11-29,0.3225153,Music,0,0,0,0,0,0,0,4-03 - 4-17,0.495934503,0.673502922,0.631841747,0.716972596,0.456988794,0.453255282,0.616719314,0.634268968,32851,1226890,100840,349270,2261239,154615,556420,1550204
b,2,yes,yes,2019-11-15-2019-11-29,0.993771,Music,0,0,0,0,0,0,0,4-17 - 5-01,0.53523902,0.640298746,0.753351976,0.32032099,0.500942484,0.465304672,0.900527813,0.670108539,56380,1103585,84827,472765,3364824,239442,1029185,2096197
b,2,yes,yes,2019-11-15-2019-11-29,0.122266,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.70708257,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.90634155,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.9446313,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.01222231,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.99529946,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.9942163,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.037628453,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.9786491,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.97033095,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.019739283,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.007834137,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.33255142,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.6587365,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.024122939,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.99510765,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.99538535,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.005504936,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.9891755,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.5738804,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.011137494,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.699620644,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.085850984,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.99504095,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.9925748,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.3225153,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.014478751,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.3225153,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.00739293,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.59535897,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.3225153,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.005046252,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.9893113,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.3225153,Music,8,0,0,8,0,0,8,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.11030099,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.52830845,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.3225153,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.39975306,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.9955082,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.3225153,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.9951374,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.9939427,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.74279696,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.3225153,Music,3,0,9,11,0,1,10,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.007999028,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.99295455,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.3225153,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.9952923,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.35035333,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.97074306,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.009802715,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.74209094,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.3225153,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
i,9,no,yes,2020-02-21-2020-03-06,0.5521129,Music,29,0,66,40,0,6,34,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.015978543,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.004476273,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.9719364,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.026700031,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.3225153,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.011004439,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.3225153,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.053239856,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.9951439,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
j,10,no,yes,2020-03-06-2020-03-20,0.3225153,Music,797,0,51,837,9,13,815,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.62338,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.9923872,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.9940118,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.060820427,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.003743391,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,10484,15,255,11321,139,1739,9443,,,,,,,,,,,,,,,,,
