fortnight_letter,fortnight,pre_covid,pre_outbreak,date,sentiment_score,video_category,additional_confirmed,additional_deaths,additional_recoveries,total_confirmed,total_deaths,total_recoveries,current_infections,date_avg,sent_avg_10,sent_avg_19,sent_avg_22,sent_avg_24,sent_avg_25,sent_avg_26,sent_avg_27,sent_avg_28,case_num,global_additional_confirmed,global_additional_deaths,global_additional_recoveries,global_total_confirmed,global_total_deaths,global_total_recoveries,global_current_infections
a,1,yes,yes,2019-11-01-2019-11-15,0.82289565,Music,0,0,0,0,0,0,0,11-01 - 11-15,0.758169212,0.666644389,0.462821501,0.70940651,0.302189734,0.582229621,0.552769718,0.38055932,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,11-15 - 11-29,0.310698269,0.58465064,0.630288503,0.334260371,0.377748351,0.52097022,0.372763653,0.393413959,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.691746116,Music,0,0,0,0,0,0,0,11-29 - 12-13,0.412947583,0.492693997,0.466852937,0.481117732,0.356428619,0.649104495,0.339426844,0.478727187,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.54257476,Music,0,0,0,0,0,0,0,12-13 - 12-27,0.489708496,0.54305656,0.495847459,0.404211717,0.332723137,0.692223609,0.350867766,0.524119471,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.9588107,Music,0,0,0,0,0,0,0,12-27 - 1-10,0.386708059,0.63467558,0.599123175,0.517113242,0.320207207,0.639645899,0.475319023,0.386443516,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.9326633,Music,0,0,0,0,0,0,0,1-10 - 1-24,0.315216359,0.691071884,0.788787646,0.363703606,0.365895368,0.57913736,0.440713848,0.694527966,0,653,18,30,653,18,30,605
a,1,yes,yes,2019-11-01-2019-11-15,0.98556364,Music,0,0,0,0,0,0,0,1-24 - 2-07,0.400928095,0.753400206,0.853600226,0.51675081,0.623079119,0.759057358,0.415900752,0.468131004,3,29727,608,1439,30380,626,1469,28285
a,1,yes,yes,2019-11-01-2019-11-15,0.39867365,Music,0,0,0,0,0,0,0,2-07 - 2-21,0.500332453,0.650757984,0.862765108,0.637751202,0.37721228,0.439310781,0.670445868,0.418758362,3,45442,1613,16690,75822,2239,18159,55424
a,1,yes,yes,2019-11-01-2019-11-15,0.931453,Music,0,0,0,0,0,0,0,2-21 - 3-06,0.423064935,0.679442547,0.717617239,0.547396498,0.592306733,0.646805038,0.522674663,0.45087456,30,21384,1102,35301,97206,3341,53460,40405
a,1,yes,yes,2019-11-01-2019-11-15,0.994796,Music,0,0,0,0,0,0,0,3-06 - 3-20,0.557216202,0.604755329,0.446132072,0.661947357,0.433695523,0.5275329,0.516708404,0.603268773,194,144914,6426,29575,242120,9767,83035,149318
b,2,yes,yes,2019-11-15-2019-11-29,0.5839428,Music,0,0,0,0,0,0,0,3-20 - 4-03,0.606843362,0.517923223,0.701699618,0.582264058,0.567932298,0.679561571,0.55033787,0.49692907,2543,792229,44008,124115,1034349,53775,207150,773424
