fortnight_letter,fortnight,pre_covid,pre_outbreak,date,sentiment_score,video_category,additional_confirmed,additional_deaths,additional_recoveries,total_confirmed,total_deaths,total_recoveries,current_infections,date_avg,sent_avg_10,sent_avg_19,sent_avg_22,sent_avg_24,sent_avg_25,sent_avg_26,sent_avg_27,sent_avg_28,case_num,recovery_num,global_additional_confirmed,global_additional_deaths,global_additional_recoveries,global_total_confirmed,global_total_deaths,global_total_recoveries,global_current_infections
a,1,yes,yes,2019-11-01-2019-11-15,0.043698464,Music,0,0,0,0,0,0,0,11-01 - 11-15,0.345838756,0.75783514,0.576642317,0.545416775,0.453819793,0.492320398,0.698786103,0.901145999,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,11-15 - 11-29,0.581110548,0.645421265,0.5873103,0.703928225,0.544233868,0.5211199,0.895462306,0.54345041,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.984670281,Music,0,0,0,0,0,0,0,11-29 - 12-13,0.489476512,0.657759488,0.465225593,0.697168044,0.550644683,0.662375629,0.873668514,0.762500379,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.051603913,Music,0,0,0,0,0,0,0,12-13 - 12-27,0.488136997,0.629345805,0.624617403,0.55953063,0.627872598,0.652032016,0.870366289,0.749890348,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.012004567,Music,0,0,0,0,0,0,0,12-27 - 1-10,0.363954104,0.64523571,0.64411167,0.685420571,0.735899992,0.638502092,0.685982978,0.62380811,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.93736196,Music,0,0,0,0,0,0,0,1-10 - 1-24,0.736049058,0.795653045,0.560847375,0.603943678,0.655441786,0.80756563,0.782717957,0.733347744,0,0,653,18,30,653,18,30,605
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,1-24 - 2-07,0.514607879,0.733853219,0.60260821,0.426804656,0.562665449,0.621657016,0.702075067,0.755499548,2,0,29727,608,1439,30380,626,1469,28285
a,1,yes,yes,2019-11-01-2019-11-15,0.13898717,Music,0,0,0,0,0,0,0,2-07 - 2-21,0.400361021,0.63944333,0.533508185,0.546524502,0.732073602,0.673807217,0.669358902,0.485940965,9,0,45442,1613,16690,75822,2239,18159,55424
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,2-21 - 3-06,0.507257385,0.583687424,0.754183449,0.453257673,0.625565682,0.65976497,0.851443354,0.770097588,115,8,21384,1102,35301,97206,3341,53460,40405
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,3-06 - 3-20,0.237304533,0.78046905,0.492453565,0.411195995,0.737957316,0.439866242,0.813491058,0.610801984,3554,103,144914,6426,29575,242120,9767,83035,149318
b,2,yes,yes,2019-11-15-2019-11-29,0.3225153,Music,0,0,0,0,0,0,0,3-20 - 4-03,0.310861024,0.756452392,0.680774257,0.43217732,0.556119642,0.584199833,0.826197166,0.611288375,39647,275,792229,44008,124115,1034349,53775,207150,773424
b,2,yes,yes,2019-11-15-2019-11-29,0.63586736,Music,0,0,0,0,0,0,0,4-03 - 4-17,0.497077774,0.821601849,0.573284513,0.501010917,0.637316433,0.585327996,0.73145126,0.688383111,115245,477,1226890,100840,349270,2261239,154615,556420,1550204
b,2,yes,yes,2019-11-15-2019-11-29,0.5941189,Music,0,0,0,0,0,0,0,4-17 - 5-01,0.454451433,0.645902579,0.7074712,0.422241297,0.74157477,0.381550766,0.902328343,0.744700581,184161,975,1103585,84827,472765,3364824,239442,1029185,2096197
b,2,yes,yes,2019-11-15-2019-11-29,0.99021405,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.2792151,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.289519,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.63762146,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.72443515,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.3449111,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.99268806,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.9928104,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.8754117,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.23795283,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.68487906,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.99527776,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.016227273,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.124660194,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.9939166,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.6655896,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.015296533,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.40179998,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.39748827,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.6655896,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.10649679,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
d,4,yes,yes,2019-12-13-2019-12-27,0.990162,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.9954371,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.015521913,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.062106553,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.9642156,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.061511632,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.009385942,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.019648463,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
e,5,yes,yes,2019-12-27-2020-01-10,0.86668324,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.9692872,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.771882355,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.987739682,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.6882377,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.9953471,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.9918092,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
f,6,yes,yes,2020-01-10-2020-01-24,0.98864144,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.004039936,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.008003528,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.004220319,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.9193987,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.99531496,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.99249095,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.3225153,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.6037021,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.9738777,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
g,7,no,yes,2020-01-24-2020-02-07,0.3225153,Music,2,0,0,2,0,0,2,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.6246334,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.85701275,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.003751507,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.34150967,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.3225153,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.3225153,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.3225153,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.14606208,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.9949892,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
h,8,no,yes,2020-02-07-2020-02-21,0.0681057,Music,7,0,44,9,0,8,1,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.17389676,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.943118,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.23848581,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.5448292,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.3225153,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.5448292,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.977119923,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.3225153,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.010690353,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
i,9,no,no,2020-02-21-2020-03-06,0.994574,Music,106,1,104,115,1,8,106,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.07830034,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.3225153,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.1354478,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.20634185,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.003553407,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.9329223,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.4215028,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.13692077,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.007733116,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
j,10,no,no,2020-03-06-2020-03-20,0.12780765,Music,3439,150,93,3554,152,103,3299,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.8520326,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.4598624,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.345529043,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.036302842,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.004900699,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.3225153,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
k,11,no,no,2020-03-20-2020-04-03,0.11992146,Music,36093,1439,117,39647,3167,275,36205,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.24705979,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.008613792,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.9925289,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.003994298,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.7375284,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.3225153,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.004019583,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.68212074,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.97933424,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
l,12,no,no,2020-04-03-2020-04-17,0.9930627,Music,75598,8902,209,115245,14848,477,99920,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.00491517,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.3225153,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.3225153,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.3225153,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.9949274,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.3225153,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.3225153,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.99538416,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.6141958,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
m,13,no,no,2020-04-17-2020-05-01,0.3225153,Music,68916,12574,5,184161,27824,975,155362,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.430371672,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.975355953,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.964388102,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.995193928,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.978238791,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.99417615,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.99344987,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,1,yes,yes,2019-11-01-2019-11-15,0.031733032,Travel and Events,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
