fortnight_letter,fortnight,pre_covid,pre_outbreak,date,sentiment_score,video_category,additional_confirmed,additional_deaths,additional_recoveries,total_confirmed,total_deaths,total_recoveries,current_infections,date_avg,sent_avg_10,sent_avg_19,sent_avg_22,sent_avg_24,sent_avg_25,sent_avg_26,sent_avg_27,sent_avg_28,case_num,recovery_num,global_additional_confirmed,global_additional_deaths,global_additional_recoveries,global_total_confirmed,global_total_deaths,global_total_recoveries,global_current_infections
a,1,yes,yes,2019-11-01-2019-11-15,0.982221584,Music,0,0,0,0,0,0,0,11-01 - 11-15,0.748164921,0.507662273,0.739136504,0.478239944,0.606740205,0.668671617,0.739274174,0.671105155,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.9932522,Music,0,0,0,0,0,0,0,11-15 - 11-29,0.455869734,0.469134268,0.734002564,0.66144879,0.465526144,0.566957995,0.780723171,0.66959267,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.991383702,Music,0,0,0,0,0,0,0,11-29 - 12-13,0.393447843,0.372474582,0.887468839,0.787012168,0.419580045,0.639108241,0.664960121,0.811734614,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.990045935,Music,0,0,0,0,0,0,0,12-13 - 12-27,0.624546775,0.414480376,0.736458372,0.417954724,0.363860838,0.509977927,0.546932736,0.597292765,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.971131623,Music,0,0,0,0,0,0,0,12-27 - 1-10,0.503534324,0.350227962,0.711723228,0.601101257,0.25907861,0.603991168,0.605207106,0.797630103,0,0,0,0,0,0,0,0,0
a,1,yes,yes,2019-11-01-2019-11-15,0.994457245,Music,0,0,0,0,0,0,0,1-10 - 1-24,0.601702589,0.796232419,0.65618819,0.45523996,0.625609572,0.689838784,0.574685705,0.653840682,0,0,653,18,30,653,18,30,605
a,1,yes,yes,2019-11-01-2019-11-15,0.9902444,Music,0,0,0,0,0,0,0,1-24 - 2-07,0.530793914,0.347101874,0.775806566,0.764115673,0.528662352,0.739964461,0.686422821,0.781320063,19,0,29727,608,1439,30380,626,1469,28285
a,1,yes,yes,2019-11-01-2019-11-15,0.213407557,Music,0,0,0,0,0,0,0,2-07 - 2-21,0.691407768,0.715469716,0.837672445,0.608298337,0.62140895,0.716142759,0.620822469,0.402649744,22,3,45442,1613,16690,75822,2239,18159,55424
a,1,yes,yes,2019-11-01-2019-11-15,0.3225153,Music,0,0,0,0,0,0,0,2-21 - 3-06,0.385290639,0.624374026,0.679421912,0.691305155,0.512237354,0.663898659,0.390311609,0.594417155,261,11,21384,1102,35301,97206,3341,53460,40405
a,1,yes,yes,2019-11-01-2019-11-15,0.03298966,Music,0,0,0,0,0,0,0,3-06 - 3-20,0.493899135,0.52159843,0.69826557,0.570256276,0.666992351,0.510813735,0.806371562,0.50572056,14355,122,144914,6426,29575,242120,9767,83035,149318
b,2,yes,yes,2019-11-15-2019-11-29,0.628861681,Music,0,0,0,0,0,0,0,3-20 - 4-03,0.504815911,0.438750213,0.717583855,0.721320316,0.401623792,0.508340633,0.524809917,0.581763955,244285,9186,792229,44008,124115,1034349,53775,207150,773424
b,2,yes,yes,2019-11-15-2019-11-29,0.882762869,Music,0,0,0,0,0,0,0,4-03 - 4-17,0.792969459,0.566359047,0.68710595,0.552639265,0.427523346,0.614255745,0.820898104,0.589262352,700392,58730,1226890,100840,349270,2261239,154615,556420,1550204
b,2,yes,yes,2019-11-15-2019-11-29,0.18949328,Music,0,0,0,0,0,0,0,4-17 - 5-01,0.59345389,0.814754129,0.891315015,0.647875171,0.647080183,0.668340431,0.678045937,0.597308676,1104147,164200,1103585,84827,472765,3364824,239442,1029185,2096197
b,2,yes,yes,2019-11-15-2019-11-29,0.867902776,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.020447284,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.9796848,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.527409431,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.3225153,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.12610273,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
b,2,yes,yes,2019-11-15-2019-11-29,0.013517192,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.026547061,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.7886958,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.09529414,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
c,3,yes,yes,2019-11-29-2019-12-13,0.991098732,Music,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
